frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
spring,4.90ms,5.46ms,77.41ms,2081593,1697500861,1697500876,,,,,
spring,9.77ms,5.52ms,88.11ms,811222,1697500878,1697500893,,,,,
spring,17.06ms,6.79ms,87.47ms,448516,1697500895,1697500910,,,,,
spring,24.22ms,7.69ms,122.94ms,313793,1697500912,1697500927,,,,,
spring,31.73ms,8.55ms,103.38ms,238988,1697500929,1697500944,,,,,
spring-jpa,6.23ms,5.86ms,90.10ms,1490588,1697501641,1697501656,,,,,
spring-jpa,17.21ms,6.76ms,87.55ms,444462,1697501658,1697501673,,,,,
spring-jpa,31.62ms,8.58ms,275.98ms,239996,1697501675,1697501690,,,,,
spring-jpa,46.49ms,9.54ms,130.42ms,162913,1697501692,1697501707,,,,,
spring-jpa,61.59ms,10.79ms,150.17ms,122905,1697501709,1697501725,,,,,
spring-mongo,5.65ms,4.25ms,45.77ms,1516197,1697502376,1697502391,,,,,
spring-mongo,22.20ms,4.39ms,78.30ms,341476,1697502393,1697502409,,,,,
spring-mongo,43.12ms,6.36ms,119.64ms,175773,1697502411,1697502426,,,,,
spring-mongo,64.28ms,7.65ms,145.92ms,117833,1697502428,1697502443,,,,,
spring-mongo,85.07ms,8.80ms,184.30ms,88921,1697502445,1697502460,,,,,
vertx-postgres,0.86ms,292.64us,21.29ms,8789705,1697550039,1697550055,,,,,
vertx-postgres,3.97ms,339.03us,15.98ms,1911534,1697550057,1697550072,,,,,
vertx-postgres,7.84ms,640.77us,23.66ms,968252,1697550074,1697550089,,,,,
vertx-postgres,11.71ms,0.92ms,26.33ms,647899,1697550091,1697550106,,,,,
vertx-postgres,15.55ms,1.25ms,29.25ms,487589,1697550108,1697550123,,,,,
vertx-web-kotlin-coroutines-postgres,0.97ms,440.79us,22.07ms,7934216,1697551198,1697551213,,,,,
vertx-web-kotlin-coroutines-postgres,4.25ms,456.09us,19.50ms,1784882,1697551215,1697551230,,,,,
vertx-web-kotlin-coroutines-postgres,8.39ms,0.89ms,23.24ms,904414,1697551232,1697551248,,,,,
vertx-web-kotlin-coroutines-postgres,12.53ms,1.36ms,28.78ms,605472,1697551250,1697551265,,,,,
vertx-web-kotlin-coroutines-postgres,16.80ms,2.77ms,82.58ms,453154,1697551267,1697551282,,,,,
vertx-web-kotlinx-postgresql,1.00ms,426.03us,21.80ms,7653918,1697552301,1697552316,,,,,
vertx-web-kotlinx-postgresql,4.21ms,495.46us,25.78ms,1800215,1697552318,1697552334,,,,,
vertx-web-kotlinx-postgresql,8.33ms,0.89ms,29.41ms,911139,1697552336,1697552351,,,,,
vertx-web-kotlinx-postgresql,12.54ms,2.73ms,81.11ms,608820,1697552353,1697552368,,,,,
vertx-web-kotlinx-postgresql,16.49ms,1.68ms,28.01ms,460045,1697552370,1697552385,,,,,
vertx-web-postgres,0.90ms,329.25us,19.75ms,8431241,1697552933,1697552948,,,,,
vertx-web-postgres,4.22ms,437.62us,16.23ms,1797966,1697552950,1697552965,,,,,
vertx-web-postgres,8.32ms,827.94us,29.63ms,912181,1697552967,1697552982,,,,,
vertx-web-postgres,12.51ms,2.41ms,74.29ms,609060,1697552984,1697553000,,,,,
vertx-web-postgres,16.50ms,1.60ms,38.38ms,459691,1697553002,1697553017,,,,,
vertx-web-scala,3.52ms,5.68ms,64.36ms,7148802,1697553598,1697553613,,,,,
vertx-web-scala,6.01ms,6.19ms,50.24ms,1782833,1697553615,1697553630,,,,,
vertx-web-scala,9.21ms,6.86ms,56.59ms,905087,1697553632,1697553647,,,,,
vertx-web-scala,12.75ms,8.17ms,62.39ms,606133,1697553649,1697553664,,,,,
vertx-web-scala,16.71ms,8.61ms,60.60ms,455689,1697553666,1697553681,,,,,
